,idx,word,pos
758,37,",",","
759,37,which,WDT
760,37,began,VBD
761,37,shipping,VBG
762,37,to,IN
763,37,customers,NNS
764,37,on,IN
765,37,Friday,NNP
766,37,and,CC
767,37,comes,VBZ
768,37,in,IN
769,37,white,JJ
770,37,",",","
771,37,black,JJ
772,37,and,CC
773,37,red,JJ
774,37,",",","
775,37,takes,VBZ
776,37,us,PRP
777,37,back,RB
778,37,to,IN
779,37,2017,CD
780,37,",",","
781,37,when,WRB
782,37,Apple,NNP
783,37,(,-LRB-
784,37,AAPL,NNP
785,37,),-RRB-
786,37,launched,VBD
787,37,the,DT
788,37,iPhone,NNP
789,37,8,CD
790,37,.,.
791,38,For,IN
792,38,just,RB
793,38,$,$
794,38,399,CD
795,38,/,SYM
796,38,£,NNP
797,38,419,CD
798,38,/,SYM
799,38,AU$749,NN
800,38,you,PRP
801,38,can,MD
802,38,have,VB
803,38,a,DT
804,38,brand,NN
805,38,-,HYPH
806,38,new,JJ
807,38,handset,NN
808,38,from,IN
809,38,Apple,NNP
810,38,–,:
811,38,it,PRP
812,38,’s,VBZ
813,38,one,CD
814,38,of,IN
815,38,the,DT
816,38,best,JJS
817,38,iPhones,NNPS
818,38,ever,RB
819,38,created,VBN
820,38,and,CC
821,38,you,PRP
822,38,can,MD
823,38,now,RB
824,38,get,VB
825,38,your,PRP$
826,38,hands,NNS
827,38,on,IN
828,38,one,CD
829,38,.,.
830,39,Battery,NN
831,39,life,NN
832,39,is,VBZ
833,39,just,RB
834,39,OK,JJ
835,39,.,.
836,39,Apple,NN
837,39,designs,NNS
838,39,devices,NNS
839,39,to,TO
840,39,last,VB
841,39,",",","
842,39,and,CC
843,39,not,RB
844,39,just,RB
845,39,because,IN
846,39,it,PRP
847,39,pleases,VBZ
848,39,customers,NNS
849,39,.,.
850,40,Here,RB
851,40,'s,VBZ
852,40,a,DT
853,40,quick,JJ
854,40,rundown,NN
855,40,:,:
856,40,The,DT
857,40,iPhone,NNP
858,40,SE,NNP
859,40,has,VBZ
860,40,the,DT
861,40,same,JJ
862,40,body,NN
863,40,",",","
864,40,screen,NN
865,40,",",","
866,40,and,CC
867,40,storage,NN
868,40,as,IN
869,40,the,DT
870,40,iPhone,NNP
871,40,5s,NN
872,40,(,-LRB-
873,40,at,IN
874,40,Amazon,NNP
875,40,),-RRB-
876,40,.,.
877,41,Excellent,JJ
878,41,performance,NN
879,41,.,.
880,42,In,IN
881,42,fact,NN
882,42,",",","
883,42,the,DT
884,42,new,JJ
885,42,iPhone,NNP
886,42,SE,NNP
887,42,is,VBZ
888,42,all,PDT
889,42,these,DT
890,42,things,NNS
891,42,and,CC
892,42,that,DT
893,42,'s,VBZ
894,42,why,WRB
895,42,I,PRP
896,42,'m,VBP
