,idx,word,pos,n_w,n_d,tf,i_d,idf,tf_idf
289,14,few,JJ,1,35,0.02857142857142857,16,3.7954891891721947,0.1084425482620627
294,14,n’t,RB,1,35,0.02857142857142857,80,2.186051276738094,0.06245860790680269
303,15,loud,JJ,1,5,0.2,3,5.469465622743866,1.0938931245487733
305,15,enjoyable,JJ,1,5,0.2,2,5.87493073085203,1.174986146170406
311,16,small,JJ,1,9,0.1111111111111111,33,3.0715703499454956,0.3412855944383884
314,16,big,JJ,1,9,0.1111111111111111,11,4.170182638613605,0.4633536265126228
317,17,now,RB,1,24,0.041666666666666664,27,3.2722410454076467,0.13634337689198528
318,17,hard,JJ,1,24,0.041666666666666664,9,4.370853334075757,0.1821188889198232
331,17,n't,RB,1,24,0.041666666666666664,23,3.432583695482826,0.14302432064511775
338,17,once,RB,1,24,0.041666666666666664,4,5.181783550292085,0.21590764792883688
347,18,more,RBR,1,30,0.03333333333333333,59,2.490540467506256,0.08301801558354187
348,18,affordable,JJ,1,30,0.03333333333333333,3,5.469465622743866,0.18231552075812885
362,18,surprisingly,RB,1,30,0.03333333333333333,3,5.469465622743866,0.18231552075812885
363,18,similar,JJ,1,30,0.03333333333333333,12,4.083171261623976,0.1361057087207992
372,19,yet,RB,1,10,0.1,7,4.622167762356662,0.46221677623566626
374,19,once,RB,1,10,0.1,4,5.181783550292085,0.5181783550292085
386,20,decent,JJ,1,56,0.017857142857142856,6,4.77631844218392,0.08529140075328429
388,20,not,RB,1,56,0.017857142857142856,64,2.409194828052304,0.04302133621521971
389,20,top,JJ,1,56,0.017857142857142856,9,4.370853334075757,0.07805095239420994
395,20,then,RB,1,56,0.017857142857142856,10,4.26549281841793,0.07616951461460589
410,20,good,JJ,1,56,0.017857142857142856,20,3.572345637857985,0.06379188639032116
413,20,enough,JJ,1,56,0.017857142857142856,12,4.083171261623976,0.07291377252899957
417,20,great,JJ,1,56,0.017857142857142856,16,3.7954891891721947,0.06777659266378919
424,20,lighter,JJR,1,56,0.017857142857142856,1,6.568077911411976,0.11728710556092814
430,20,current,JJ,1,56,0.017857142857142856,4,5.181783550292085,0.09253184911235865
437,21,great,JJ,1,3,0.3333333333333333,16,3.7954891891721947,1.2651630630573982
441,22,new,JJ,1,50,0.02,78,2.211369084722384,0.04422738169444768
461,22,small,JJ,1,50,0.02,33,3.0715703499454956,0.061431406998909914
464,22,many,JJ,1,50,0.02,17,3.7348645673557597,0.0746972913471152
473,22,careful,JJ,1,50,0.02,1,6.568077911411976,0.13136155822823953
480,22,current,JJ,1,50,0.02,4,5.181783550292085,0.1036356710058417
483,22,also,RB,1,50,0.02,30,3.1668805297498204,0.0633376105949964
